,movie_candidates
0,110 1196 527
1,110 318 2571
2,110 1196 527
3,110 527 260
4,110 1196 2571
5,110 318 527
6,110 2571 527
7,110 318 1196
8,110 527 356
9,110 318 1196
10,110 318 527
11,110 1196 2959
12,110 1196 527
13,110 318 2571
14,110 318 1196
15,110 1196 2571
16,110 1196 527
17,110 1196 527
18,110 318 2571
19,110 1196 2571
20,110 318 260
21,110 1196 2571
22,110 318 1196
23,110 318 527
24,110 2571 527
25,110 1196 527
26,110 318 1196
27,110 318 2571
28,110 1196 527
29,110 2571 260
30,110 1196 527
31,110 527 356
32,110 318 260
33,110 527 356
34,110 1196 527
35,110 1196 527
36,110 1196 356
37,110 1196 527
38,110 260 356
39,110 318 527
40,110 318 527
41,110 1196 527
42,110 318 260
43,110 318 1196
44,110 1196 2571
45,110 318 1196
46,110 318 2571
47,110 1196 260
48,110 1196 356
49,110 1196 527
50,110 318 1196
51,110 1196 2571
52,110 318 260
53,110 1196 2571
54,110 1196 2571
55,110 1196 2571
56,110 1196 2571
57,110 1196 2571
58,110 2571 527
59,110 1196 527
60,110 318 527
61,110 1196 356
62,110 593 296
63,110 1196 527
64,110 318 1196
65,110 318 1196
66,110 260 593
67,110 1196 527
68,110 318 1196
69,110 318 527
70,110 1196 527
71,110 318 527
72,110 318 527
73,110 1196 356
74,110 318 356
75,110 1196 527
76,110 1196 2571
77,110 1196 527
78,110 318 527
79,110 318 1196
80,110 527 260
81,110 1196 2571
82,110 1196 2571
83,110 1196 2571
84,110 318 1196
85,110 318 527
86,110 318 2571
87,110 1196 527
88,110 318 2571
89,110 318 260
90,110 1196 2571
91,110 2571 260
92,110 1196 2571
93,110 2571 260
94,110 2571 527
95,110 1196 527
96,110 527 260
97,110 318 2571
98,110 1196 2571
99,110 1196 527
100,1196 2571 527
101,1196 2571 260
102,1196 2571 356
103,1196 2571 356
104,1196 2571 527
105,1196 527 <eos>
106,1196 2571 356
107,1196 527 593
108,1196 527 593
109,1196 2571 356
110,1196 2571 260
111,1196 527 356
112,1196 2571 527
113,1196 2571 527
114,1196 260 356
115,1196 2571 527
116,1196 2571 260
117,1196 2571 356
118,1196 2571 527
119,1196 2571 <eos>
120,1196 2571 356
121,1196 527 260
122,1196 527 356
123,1196 527 593
124,1196 2571 260
125,1196 2571 356
126,1196 2571 527
127,1196 2571 260
128,1196 2571 527
129,1196 2571 <eos>
130,1196 2571 527
131,1196 2571 527
132,1196 2571 356
133,1196 2571 527
134,1196 2571 260
135,1196 2571 527
136,1196 2571 527
137,1196 2571 527
138,1196 2571 527
139,1196 2571 527
140,1196 2571 527
141,1196 527 260
142,1196 2571 356
143,1196 2571 356
144,1196 2571 527
145,1196 2571 356
146,1196 2571 527
147,1196 527 593
148,1196 2571 527
149,1196 527 593
150,1196 2571 527
151,1196 296 2959
152,1196 2571 260
153,1196 2571 527
154,1196 527 356
155,1196 527 260
156,1196 2571 527
157,1196 2571 356
158,1196 2571 356
159,1196 2571 356
160,1196 527 260
161,1196 2571 356
162,1196 2571 527
163,1196 2571 356
164,1196 527 296
165,1196 296 2959
166,1196 527 260
167,1196 2571 356
168,1196 2571 527
169,1196 527 260
170,1196 527 296
171,1196 2571 527
172,1196 2571 527
173,1196 2571 527
174,1196 2571 527
175,1196 2571 260
176,1196 2571 527
177,1196 2571 527
178,1196 2571 527
179,1196 527 593
180,1196 2571 356
181,1196 2571 356
182,1196 2571 260
183,1196 2571 356
184,1196 527 356
185,1196 2571 527
186,1196 527 <eos>
187,1196 527 593
188,1196 527 593
189,1196 2571 527
190,1196 527 260
191,1196 2571 527
192,1196 2571 527
193,1196 527 260
194,1196 2571 527
195,1196 2571 356
196,1196 2571 296
197,1196 356 593
198,1196 2571 356
199,1196 527 296
200,260 296 <eos>
201,260 356 593
202,260 2959 110
203,260 593 <eos>
204,260 2959 110
205,260 296 2959
206,260 356 296
207,260 593 <eos>
208,260 356 593
209,260 2959 <eos>
210,260 2959 110
211,260 356 296
212,260 2959 110
213,260 2959 110
214,260 593 <eos>
215,260 593 2959
216,260 2959 <eos>
217,260 356 296
218,260 2959 <eos>
219,260 2959 <eos>
220,260 593 <eos>
221,260 593 2959
222,260 356 2959
223,260 296 2959
224,260 296 110
225,260 296 2959
226,260 356 296
227,260 296 2959
228,260 593 <eos>
229,260 593 296
230,260 2959 <eos>
231,260 356 2959
232,260 593 296
233,260 2959 110
234,260 2959 <eos>
235,260 296 2959
236,260 2959 <eos>
237,260 356 <eos>
238,260 593 <eos>
239,260 593 110
240,260 2959 <eos>
241,260 356 296
242,260 356 296
243,260 2959 110
244,260 356 296
245,260 593 296
246,260 593 2959
