,movie_candidates
0,"['110', '260', '296', '318', '356', '593']"
1,"['110', '260', '527', '1196', '2571']"
2,"['110', '260', '318', '593', '2571', '2959']"
3,"['110', '296', '318']"
4,"['110', '260', '296', '356', '527', '1196']"
5,"['110', '260', '318', '356', '527', '593']"
6,"['110', '296', '356', '1196', '2571']"
7,"['110', '296', '527', '593', '1196', '2571']"
8,"['110', '260', '296', '356', '527', '593']"
9,"['110', '296', '593']"
10,"['110', '260', '296', '318', '527', '593']"
11,"['110', '260', '318', '527', '2571']"
12,"['110', '296', '318', '527', '593', '2959']"
13,"['110', '296', '318', '356', '527', '593']"
14,"['110', '260', '318', '356', '527', '1196']"
15,"['110', '260', '527', '593', '1196']"
16,"['110', '527', '2959']"
17,"['110', '260', '296', '356', '527', '593']"
18,"['110', '260', '296', '318', '527', '2571']"
19,"['110', '260', '318', '356', '527', '593']"
20,"['110', '318', '2959']"
21,"['110', '296', '318', '527', '593', '1196']"
22,"['110', '296', '318', '356', '527', '593']"
23,"['110', '296', '2571']"
24,"['110', '260', '296', '356', '2571', '2959']"
25,"['110', '527', '1196', '2571']"
26,"['110', '318', '527', '1196', '2959']"
27,"['110', '318', '356', '527']"
28,"['110', '260', '296', '318', '356', '527']"
29,"['110', '296', '527', '2571']"
30,"['110', '296', '356', '527', '593', '1196']"
31,"['110', '260', '356', '593', '2571']"
32,"['110', '260', '356', '2571']"
33,"['110', '260', '296', '527', '1196', '2959']"
34,"['110', '260', '296', '318', '356', '1196']"
35,"['110', '296', '318', '356', '527']"
36,"['110', '260', '593', '2571']"
37,"['110', '296', '318', '527', '1196', '2959']"
38,"['110', '260', '296', '318', '527', '593']"
39,"['110', '296', '318', '356', '1196', '2571']"
40,"['110', '260', '296', '318', '527', '2571']"
41,"['110', '356', '527', '593', '2571']"
42,"['110', '296', '356', '593', '1196', '2571']"
43,"['110', '260', '296', '356', '2959']"
44,"['110', '260', '296', '318', '356', '593']"
45,"['110', '260', '296', '356', '527', '593']"
46,"['110', '1196', '2959']"
47,"['110', '260', '296', '318', '593', '1196']"
48,"['110', '260', '356', '593', '2571', '2959']"
49,"['110', '260', '296', '356', '593', '2571']"
50,"['110', '260', '296', '318', '356', '527']"
51,"['110', '296', '356', '527', '593', '1196']"
52,"['110', '260', '296', '356', '1196']"
53,"['110', '296', '593', '1196']"
54,"['110', '260', '296', '318', '356', '527']"
55,"['110', '296', '318', '527', '593', '1196']"
56,"['110', '260', '318', '527', '593', '1196']"
57,"['110', '260', '356', '527', '593', '2959']"
58,"['110', '260', '318', '356', '527', '593']"
59,"['110', '296', '318', '593', '2571', '2959']"
60,"['110', '260', '296', '318', '527', '593']"
61,"['110', '296', '527']"
62,"['110', '260', '318', '356', '527', '593']"
63,"['110', '260', '318', '527', '2959']"
64,"['110', '260', '318', '527', '593', '1196']"
65,"['110', '260', '296', '356']"
66,"['110', '296', '318', '356', '527', '593']"
67,"['110', '260', '296', '318', '527', '1196']"
68,"['110', '260', '296', '318', '527', '593']"
69,"['110', '260', '296', '318', '356', '1196']"
70,"['110', '296', '356']"
71,"['110', '296', '527', '1196']"
72,"['110', '260', '296', '527', '593', '2571']"
73,"['110', '318', '356', '527', '593', '2959']"
74,"['110', '260', '318', '2571']"
75,"['110', '318', '527', '2571']"
76,"['110', '260', '296', '356', '527', '593']"
77,"['110', '260', '296', '527', '2571']"
78,"['110', '296', '318', '527', '593', '1196']"
79,"['110', '260', '356', '1196', '2571']"
80,"['110', '296', '318', '356', '527', '593']"
81,"['110', '296', '318', '356', '593', '1196']"
82,"['110', '296', '318', '356', '527', '593']"
83,"['110', '260', '318', '527', '593', '1196']"
84,"['110', '318', '527', '593', '2571']"
85,"['110', '260', '296', '527', '2571', '2959']"
86,"['110', '260', '356', '527', '1196', '2571']"
87,"['110', '296', '356', '1196', '2959']"
88,"['110', '356', '527', '1196', '2959']"
89,"['110', '260', '356', '593', '1196']"
90,"['110', '260', '318', '527', '593', '1196']"
91,"['110', '296', '318', '356', '593', '1196']"
92,"['110', '260', '356', '527', '1196', '2571']"
93,"['110', '260', '318', '356', '527', '1196']"
94,"['110', '296', '2959']"
95,"['110', '260', '296', '318', '356', '593']"
96,"['110', '296', '1196']"
97,"['110', '260', '296', '2571', '2959']"
98,"['110', '260', '296', '318', '356', '2959']"
99,"['110', '260', '296', '1196', '2571', '2959']"
100,"['110', '260', '296', '593', '2571']"
101,"['110', '260', '318', '356', '527', '593']"
102,"['110', '260', '356', '527', '2571', '2959']"
103,"['110', '260', '318', '356', '527', '593']"
104,"['110', '318', '527', '593', '2571']"
105,"['110', '260', '296', '318', '356', '593']"
106,"['110', '260', '527', '1196', '2571', '2959']"
107,"['110', '260', '296', '318', '356', '527']"
108,"['110', '356', '593', '1196']"
109,"['110', '356', '527', '1196', '2571', '2959']"
110,"['110', '356', '593', '2571']"
111,"['110', '527', '1196', '2571']"
112,"['110', '260', '296', '318', '356']"
113,"['110', '260', '296', '318', '356', '527']"
114,"['110', '296', '356', '527', '2571']"
115,"['110', '260', '296', '593', '1196', '2959']"
116,"['110', '296', '318', '356', '527', '593']"
117,"['110', '260', '296', '356', '527', '593']"
118,"['110', '260', '318', '356', '527', '2571']"
119,"['110', '260', '593', '1196', '2571']"
120,"['110', '296', '527', '2571']"
121,"['110', '318', '527']"
122,"['110', '296', '1196', '2959']"
123,"['110', '356', '527', '2959']"
124,"['110', '527', '2959']"
125,"['110', '318', '356', '527', '2959']"
126,"['110', '260', '2571']"
127,"['110', '260', '356', '527', '593', '2571']"
128,"['110', '356', '593', '2571', '2959']"
129,"['110', '260', '296', '318', '1196', '2571']"
130,"['110', '260', '356', '527', '593', '2959']"
131,"['110', '318', '527', '2959']"
132,"['110', '260', '318', '356', '527', '593']"
133,"['110', '296', '2959']"
134,"['110', '260', '356', '527', '2571']"
