,movie_candidates
0,110 2571 1196 318 260 593
1,110 356 1196 260 527 296
2,110 2571 1196 318 260 527
3,110 2571 356 1196 318 110
4,110 2571 1196 318 527 2959
5,110 2571 1196 527 296 <eos>
6,110 2571 356 1196 318 110
7,110 2571 356 1196 318 2959
8,110 2571 356 1196 260 296
9,110 2571 1196 260 527 <eos>
10,110 2571 356 1196 260 527
11,110 2571 1196 296 2571 356
12,110 2571 1196 260 <eos> 110
13,110 2571 1196 318 2959 110
14,110 2571 1196 260 <eos> 110
15,110 2571 1196 318 2959 110
16,110 2571 1196 527 296 356
17,110 1196 318 296 2959 593
18,110 2571 1196 318 260 527
19,110 2571 356 1196 318 <eos>
20,110 2571 356 1196 260 296
21,110 2571 1196 527 296 593
22,110 2571 1196 318 260 296
23,110 2571 1196 296 2571 356
24,110 2571 356 1196 318 260
25,110 2571 1196 318 260 593
26,110 2571 356 1196 318 260
27,110 2571 1196 527 296 593
28,110 2571 1196 318 260 527
29,110 1196 260 527 <eos> 2571
30,110 2571 1196 318 260 296
31,110 2571 1196 527 296 593
32,110 2571 1196 527 296 2959
33,110 2571 1196 260 <eos> 110
34,110 2571 1196 296 593 <eos>
35,110 2571 356 1196 318 260
36,110 2571 356 1196 318 2959
37,110 2571 356 1196 318 260
38,110 2571 1196 527 296 2959
39,110 356 1196 260 296 2959
40,110 2571 1196 318 260 527
41,110 2571 356 1196 318 2959
42,110 2571 356 1196 318 2959
43,110 2571 1196 2959 110 2571
44,110 2571 356 1196 318 2959
45,110 2571 1196 318 260 296
46,110 2571 356 1196 318 110
47,110 2571 1196 318 260 593
48,110 2571 1196 527 296 593
49,110 2571 1196 318 260 593
50,110 356 1196 260 296 2959
51,110 1196 318 260 527 296
52,110 2571 1196 296 2571 356
53,110 2571 356 1196 260 527
54,110 2571 1196 2959 110 2571
55,110 2571 1196 318 260 593
56,110 2571 356 1196 318 260
57,110 2571 1196 318 260 296
58,110 2571 1196 260 527 296
59,110 2571 1196 527 296 2959
60,110 2571 356 1196 318 <eos>
61,110 2571 1196 527 296 2959
62,110 2571 1196 2959 <eos> 110
63,110 2571 1196 260 <eos> 110
64,110 2571 1196 318 2959 110
65,110 2571 1196 2959 <eos> 110
66,110 2571 1196 260 <eos> 110
67,110 2571 1196 318 260 593
68,110 2571 356 1196 260 527
69,110 2571 1196 2959 110 2571
70,110 1196 318 260 527 296
71,110 2571 1196 318 260 593
72,110 2571 1196 260 527 <eos>
73,110 2571 1196 318 260 527
74,110 2571 1196 2959 <eos> 110
75,110 2571 356 1196 318 260
76,110 2571 356 1196 318 527
77,110 2571 1196 2959 110 2571
78,110 2571 1196 527 296 2959
79,110 2571 1196 2959 <eos> 110
80,110 2571 356 1196 318 2959
81,110 2571 356 1196 318 260
82,110 2571 1196 260 <eos> 110
83,110 2571 1196 527 296 593
84,110 2571 1196 527 296 2959
85,110 2571 1196 296 2571 356
86,110 2571 1196 260 527 <eos>
87,110 2571 1196 318 527 2959
88,110 2571 1196 2959 110 2571
89,110 2571 1196 260 527 296
90,110 2571 356 1196 318 <eos>
91,110 2571 356 1196 318 260
92,110 2571 1196 296 2571 356
93,110 2571 1196 260 527 296
94,110 2571 1196 2959 110 2571
95,110 2571 1196 527 296 593
96,110 2571 356 1196 318 260
97,110 2571 1196 318 2959 110
98,110 2571 1196 2959 <eos> 1196
99,110 2571 1196 260 527 296
100,110 2571 356 1196 318 110
101,110 2571 1196 260 <eos> 110
102,110 2571 1196 260 <eos> 110
103,110 2571 1196 2959 110 2571
104,110 2571 356 1196 318 260
105,110 2571 1196 260 <eos> 110
106,110 2571 1196 318 260 296
107,110 2571 1196 260 <eos> 110
