,movie_candidates
0,"['110', '260', '296']"
1,"['110', '260', '296']"
2,"['110', '318', '356']"
3,"['110', '260', '527']"
4,"['110', '527', '1196']"
5,"['110', '318', '356']"
6,"['110', '260', '318']"
7,"['110', '296', '318']"
8,"['110', '260', '296']"
9,"['110', '296', '318']"
10,"['110', '260', '2571']"
11,"['110', '260', '296']"
12,"['110', '260', '296']"
13,"['110', '356', '527']"
14,"['110', '260', '296']"
15,"['110', '260', '296']"
16,"['110', '527', '1196']"
17,"['110', '260', '527']"
18,"['110', '260', '527']"
19,"['110', '318', '527']"
20,"['110', '296', '318']"
21,"['110', '527', '593']"
22,"['110', '260', '318']"
23,"['110', '318', '527']"
24,"['110', '260', '318']"
25,"['110', '318', '527']"
26,"['110', '296', '356']"
27,"['110', '260', '296']"
28,"['110', '296', '527']"
29,"['110', '260', '318']"
30,"['110', '260', '296']"
31,"['110', '356', '2571']"
32,"['110', '296', '356']"
33,"['110', '318', '356']"
34,"['110', '318', '356']"
35,"['110', '260', '296']"
36,"['110', '260', '296']"
37,"['110', '318', '356']"
38,"['110', '296', '593']"
39,"['110', '260', '318']"
40,"['110', '356', '1196']"
41,"['110', '593']"
42,"['110', '260', '296']"
43,"['110', '260', '356']"
44,"['110', '318', '1196']"
45,"['110', '527', '593']"
46,"['110', '260', '527']"
47,"['110', '260', '296']"
48,"['110', '260', '356']"
49,"['110', '318', '356']"
50,"['110', '260', '296']"
51,"['110', '260', '296']"
52,"['110', '260', '318']"
53,"['110', '296', '318']"
54,"['110', '318', '356']"
55,"['110', '296', '1196']"
56,"['110', '260', '356']"
57,"['110', '356', '527']"
58,"['110', '356', '593']"
59,"['110', '260', '318']"
60,"['110', '318']"
61,"['110', '260', '296']"
62,"['110', '260', '318']"
63,"['110', '296', '318']"
64,"['110', '260', '356']"
65,"['110', '260', '296']"
66,"['110', '260', '318']"
67,"['110', '260', '296']"
68,"['110', '260', '296']"
69,"['110', '260', '318']"
70,"['110', '296', '318']"
71,"['110', '260', '296']"
72,"['110', '593']"
73,"['110', '318', '2571']"
74,"['110', '260', '296']"
75,"['110', '318', '527']"
76,"['110', '260', '296']"
77,"['110', '318', '356']"
78,"['110', '260', '593']"
79,"['110', '296', '1196']"
80,"['110', '260', '296']"
81,"['110', '527', '2571']"
82,"['110', '260', '356']"
83,"['110', '260', '296']"
84,"['110', '260', '296']"
85,"['110', '260', '356']"
86,"['110', '296', '318']"
87,"['110', '356', '2959']"
88,"['110', '356', '2571']"
89,"['110', '527', '593']"
90,"['110', '260', '296']"
91,"['110', '260', '356']"
92,"['110', '260', '318']"
93,"['110', '260', '318']"
94,"['110', '260']"
95,"['110', '296', '356']"
96,"['110', '260', '318']"
97,"['110', '296', '318']"
98,"['110', '260', '527']"
99,"['110', '260', '296']"
102,"['1196', '2571']"
103,"['1196', '2571']"
105,"['1196', '2959']"
107,"['1196', '2959']"
108,"['1196', '2959']"
109,"['1196', '2571', '2959']"
110,"['1196', '2571']"
111,"['1196', '2959']"
112,"['1196', '2571']"
113,"['1196', '2571']"
114,"['1196', '2571']"
115,"['1196', '2959']"
116,"['1196', '2959']"
117,"['1196', '2959']"
118,"['1196', '2571']"
119,"['1196', '2571']"
121,"['1196', '2571']"
122,"['1196', '2571', '2959']"
124,"['1196', '2571']"
125,"['1196', '2959']"
127,"['1196', '2571', '2959']"
128,"['1196', '2571', '2959']"
129,"['1196', '2571']"
130,"['1196', '2959']"
132,"['1196', '2959']"
133,"['1196', '2959']"
134,"['1196', '2571']"
135,"['1196', '2571', '2959']"
137,"['1196', '2959']"
139,"['1196', '2571', '2959']"
140,"['1196', '2571', '2959']"
141,"['1196', '2571', '2959']"
142,"['1196', '2571', '2959']"
143,"['1196', '2571', '2959']"
145,"['1196', '2959']"
146,"['1196', '2571', '2959']"
147,"['1196', '2959']"
148,"['1196', '2571', '2959']"
149,"['1196', '2571']"
151,"['1196', '2571', '2959']"
152,"['1196', '2571']"
153,"['1196', '2571']"
154,"['1196', '2571']"
155,"['1196', '2571', '2959']"
156,"['1196', '2571']"
158,"['1196', '2571', '2959']"
159,"['1196', '2571']"
160,"['1196', '2571', '2959']"
161,"['1196', '2571', '2959']"
162,"['1196', '2571', '2959']"
163,"['1196', '2571', '2959']"
164,"['1196', '2959']"
165,"['1196', '2571', '2959']"
166,"['1196', '2571']"
167,"['1196', '2571']"
169,"['1196', '2959']"
173,"['1196', '2571']"
174,"['1196', '2571']"
175,"['1196', '2571', '2959']"
176,"['1196', '2571', '2959']"
178,"['1196', '2959']"
180,"['1196', '2571']"
181,"['1196', '2571']"
182,"['1196', '2571']"
184,"['1196', '2959']"
185,"['1196', '2571']"
186,"['1196', '2571']"
187,"['1196', '2571', '2959']"
188,"['1196', '2959']"
190,"['1196', '2959']"
191,"['1196', '2959']"
192,"['1196', '2571']"
193,"['1196', '2571', '2959']"
197,"['1196', '2959']"
198,"['1196', '2959']"
199,"['1196', '2571']"
200,"['260', '527', '593']"
201,"['260', '296', '593']"
202,"['260', '318', '527']"
203,"['260', '356', '593']"
204,"['260', '318', '356']"
205,"['260', '296', '593']"
206,"['260', '356', '593']"
207,"['260', '296', '318']"
208,"['260', '593', '1196']"
209,"['260', '527', '1196']"
210,"['260', '296', '318']"
211,"['260', '296', '356']"
212,"['260', '318', '356']"
213,"['260', '296', '356']"
214,"['260', '296', '356']"
215,"['260', '296', '318']"
216,"['260', '356', '527']"
217,"['260', '296', '356']"
218,"['260', '318', '527']"
219,"['260', '593', '1196']"
220,"['260', '318', '356']"
221,"['260', '318', '593']"
222,"['260', '318', '356']"
223,"['260', '356', '527']"
224,"['260', '356', '593']"
225,"['260', '318', '356']"
226,"['260', '296', '318']"
227,"['260', '1196', '2571']"
228,"['260', '296', '356']"
229,"['260', '1196', '2571']"
230,"['260', '318', '356']"
231,"['260', '296', '356']"
232,"['260', '318', '356']"
233,"['260', '296', '356']"
234,"['260', '527', '593']"
235,"['260', '318', '593']"
236,"['260', '356', '527']"
237,"['260', '296', '356']"
238,"['260', '296', '356']"
239,"['260', '296', '318']"
240,"['260', '318', '356']"
241,"['260', '296', '356']"
242,"['260', '296', '593']"
243,"['260', '318', '356']"
244,"['260', '296', '356']"
245,"['260', '318', '527']"
246,"['260', '296', '318']"
247,"['260', '356', '527']"
248,"['260', '296', '356']"
249,"['260', '356', '527']"
250,"['260', '296', '356']"
251,"['260', '296', '318']"
252,"['260', '1196', '2959']"
253,"['260', '296', '318']"
254,"['260', '296', '356']"
255,"['260', '318', '593']"
256,"['260', '296', '318']"
257,"['260', '356', '527']"
258,"['260', '356', '593']"
259,"['260', '296', '527']"
260,"['260', '356', '527']"
261,"['260', '296', '593']"
262,"['260', '296', '356']"
263,"['260', '318', '593']"
264,"['260', '527']"
265,"['260', '318', '356']"
266,"['260', '296', '356']"
267,"['260', '318', '593']"
268,"['260', '356', '593']"
269,"['260', '296', '356']"
270,"['260', '318', '527']"
271,"['260', '296', '318']"
272,"['260', '318', '356']"
273,"['260', '527', '593']"
274,"['260', '296', '527']"
275,"['260', '296', '527']"
276,"['260', '296', '318']"
277,"['260', '356', '2571']"
278,"['260', '296', '318']"
279,"['260', '318', '527']"
280,"['260', '318', '527']"
281,"['260', '356']"
282,"['260', '296', '1196']"
283,"['260', '593', '2571']"
284,"['260', '296', '318']"
285,"['260', '296', '356']"
286,"['260', '318', '527']"
287,"['260', '296', '318']"
288,"['260', '296', '527']"
289,"['260', '296', '318']"
290,"['260', '527', '593']"
291,"['260', '296', '318']"
292,"['260', '296', '318']"
293,"['260', '296', '593']"
294,"['260', '527', '1196']"
295,"['260', '527', '593']"
296,"['260', '527', '2571']"
297,"['260', '593', '1196']"
298,"['260', '2571']"
299,"['260', '318', '593']"
300,"['296', '356']"
301,"['296', '318', '356']"
302,"['296', '356', '1196']"
303,"['296', '527']"
304,"['296', '527', '593']"
305,"['296', '593', '2571']"
306,"['296', '356', '527']"
307,"['296', '1196']"
308,"['296', '318', '593']"
309,"['296', '318']"
310,"['296', '318', '356']"
311,"['296', '527', '593']"
312,"['296', '318', '593']"
313,"['296', '318', '527']"
314,"['296', '318', '356']"
315,"['296', '318', '356']"
316,"['296', '318', '356']"
317,"['296', '356', '1196']"
318,"['296', '318', '356']"
319,"['296', '356', '1196']"
320,"['296', '318', '356']"
321,"['296', '318', '356']"
322,"['296', '356', '1196']"
323,"['296', '593']"
324,"['296', '318', '593']"
325,"['296', '356', '527']"
326,"['296', '318', '356']"
327,"['296', '527', '1196']"
328,"['296', '593']"
329,"['296', '318', '356']"
330,"['296', '593', '2571']"
331,"['296', '356', '1196']"
332,"['296', '318', '593']"
333,"['296', '356', '2959']"
334,"['296', '318', '527']"
335,"['296', '356', '527']"
336,"['296', '318', '527']"
337,"['296', '318', '2571']"
338,"['296', '318', '356']"
339,"['296', '318', '356']"
340,"['296', '527', '1196']"
341,"['296', '356', '527']"
342,"['296', '356', '527']"
343,"['296', '318', '356']"
344,"['296', '527', '1196']"
345,"['296', '356', '527']"
346,"['296', '318', '1196']"
347,"['296', '318', '356']"
348,"['296', '356', '593']"
349,"['296', '356', '527']"
350,"['296', '318', '593']"
351,"['296', '318', '356']"
352,"['296', '527', '593']"
353,"['296', '356', '593']"
354,"['296', '318', '356']"
355,"['296', '356', '527']"
356,"['296', '318', '527']"
357,"['296', '318', '527']"
358,"['296', '318', '527']"
359,"['296', '318', '356']"
360,"['296', '527', '1196']"
361,"['296', '1196', '2959']"
362,"['296', '527', '593']"
363,"['296', '318', '2571']"
364,"['296', '318', '593']"
365,"['296', '318', '2959']"
366,"['296', '318', '527']"
367,"['296', '318', '356']"
368,"['296', '318', '527']"
369,"['296', '318', '593']"
370,"['296', '318', '593']"
371,"['296', '318', '1196']"
372,"['296', '318', '356']"
373,"['296', '356', '527']"
374,"['296', '318', '593']"
375,"['296', '593', '1196']"
376,"['296', '356', '527']"
377,"['296', '1196', '2571']"
378,"['296', '356', '527']"
379,"['296', '2571', '2959']"
380,"['296', '527', '593']"
381,"['296', '318', '527']"
382,"['296', '356', '527']"
383,"['296', '356', '2959']"
384,"['296', '318', '2571']"
385,"['296', '593', '1196']"
386,"['296', '527', '593']"
387,"['296', '356', '527']"
388,"['296', '318', '356']"
389,"['296', '318', '356']"
390,"['296', '1196', '2959']"
391,"['296', '318', '527']"
392,"['296', '318', '356']"
393,"['296', '318', '1196']"
394,"['296', '318', '2571']"
395,"['296', '356', '527']"
396,"['296', '356', '1196']"
397,"['296', '356', '527']"
398,"['296', '356', '2959']"
399,"['296', '318', '356']"
400,"['318', '527', '593']"
401,"['318', '356', '527']"
402,"['318', '356', '593']"
403,"['318', '527', '593']"
404,"['318', '356', '593']"
405,"['318', '356', '1196']"
406,"['318', '356', '2571']"
407,"['318', '356', '527']"
408,"['318', '2959']"
409,"['318', '356', '593']"
410,"['318', '593', '1196']"
411,"['318', '2571']"
412,"['318', '527', '2571']"
413,"['318', '356', '527']"
414,"['318', '356', '527']"
415,"['318', '2571', '2959']"
416,"['318', '1196', '2571']"
417,"['318', '593', '1196']"
418,"['318', '2571', '2959']"
419,"['318', '356', '1196']"
420,"['318', '593', '1196']"
421,"['318', '356', '593']"
422,"['318', '527', '593']"
423,"['318', '593', '2959']"
424,"['318', '2571', '2959']"
425,"['318', '356', '2959']"
426,"['318', '2571']"
427,"['318', '356', '527']"
