,movie_candidates
0,110 260 5
1,110 260 296
2,110 260 296
3,110 260 5
4,110 260 5
5,110 260 296
6,110 260 356
7,110 260 296
8,110 260 356
9,110 260 318
10,110 260 318
11,110 260 318
12,110 260 318
13,110 2571
14,110 260 318
15,110 260 318
16,110 260 318
17,110 260 296
18,110 260 318
19,110 260 318
20,110 260 296
21,110 260 318
22,110 260 296
23,110 260 318
24,110 260 318
25,110 260 318
26,110 260 318
27,110 356 119
28,110 296 318
29,110 260 356
30,110 260 318
31,110 260 5
32,110 318 5
33,110 260 296
34,110 260 318
35,110 260 29
36,110 260 318
37,110 260 296
38,110 260 296
39,110 296 318
40,110 260 356
41,110 260 318
42,110 296 318
43,110 260 318
44,110 260 5
45,110 260 5
46,110 260 296
47,110 260 318
48,110 260 318
49,110 260 356
50,110 260 296
51,110 260 296
52,110 260 356
53,110 260 296
54,110 260 318
55,110 260 318
56,110 260 29
57,110 260 296
58,110 260 296
59,110 296 318
60,110 296 5
61,110 260 318
62,110 260 318
63,110 260 356
64,110 260 296
65,110 260 318
66,110 260 356
67,110 260 318
68,110 260 318
69,110 260 318
70,110 260 356
71,110 260 356
72,110 260 119
73,110 260 296
74,110 260 296
75,110 260 296
76,110 296 318
77,110 296 318
78,110 260 296
79,110 260 318
80,110 260 318
81,110 296 356
82,110 296 318
83,110 260 356
84,110 260 296
85,110 356 5
86,110 260 296
87,110 260 5
88,110 296 318
89,110 260 318
90,110 260 119
91,110 260 296
92,110 260 318
93,110 318 356
94,110 260 296
95,110 260 356
96,110 356<
97,110 260 318
98,110 260 296
99,110 260 296
100,1196<|
101,1196 2571
102,1196<|
103,1196 2571
104,1196 2571
105,1196 2571
106,1196<|
107,1196<|
108,1196 2571
109,1196<|
110,1196<|
111,1196<|
112,1196 2571
113,1196 2571
114,1196<|
115,1196 2571
116,1196 2571
117,1196<|
118,1196 2571
119,1196 2959
120,1196<|
121,1196 2959
122,1196 2959
123,1196 2571
124,1196<|
125,1196<|
126,1196 2571
127,1196<|
128,1196 2571
129,1196<|
130,1196 2571
131,1196<|
132,1196<|
133,1196<|
134,1196<|
135,1196 2571
136,1196<|
137,1196<|
138,1196<|
139,1196 2959
140,1196 2959
141,1196 2571
142,1196<|
143,1196 2571
144,1196<|
145,1196 2959
146,1196<|
147,1196<|
148,1196<|
149,1196 2571
150,1196 2959
151,1196 2571
152,1196<|
153,1196<|
154,1196<|
155,1196 2959
156,1196 2571
157,1196 2571
158,1196 2959
159,1196<|
160,1196<|
161,1196<|
162,1196 2959
163,1196<|
164,1196 2571
165,1196 2959
166,1196 593
167,1196<|
168,1196 2959
169,1196<|
170,1196 2959
171,1196 2959
172,1196 2571
173,1196 2571
174,1196<|
175,1196 2571
176,1196<|
177,1196 2959
178,1196<|
179,1196 2959
180,1196 2571
181,1196<|
182,1196<|
183,1196 2571
184,1196 2959
185,1196<|
186,1196 2571
187,1196 2959
188,1196 2571
189,1196 2571
190,1196<|
191,1196 2571
192,1196<|
193,1196<|
194,1196 2571
195,1196<|
196,1196 2571
197,1196<|
198,1196 2571
199,1196 2959
200,260 296 318
201,260 296 318
202,260 318 5
203,260 318 25
204,260 296 5
205,260 260 356
206,260 296 5
207,260 296 318
208,260 356 5
209,260 356 5
210,260 296 356
211,260 318 356
212,260 318 356
213,260 296 356
214,260 296 318
215,260 296 318
216,260 318 356
217,260 296 356
218,260 296 356
219,260 296 318
220,260 318 356
221,260 296 318
222,260 296 318
223,260 296 5
224,260 318 5
225,260 296 318
226,260 296 356
227,260 296 5
228,260 260 296
229,260 296 5
230,260 296 318
231,260 318 25
232,260 296 5
233,260 296 318
234,260 296 318
235,260 296 318
236,260 296 318
237,260 356 5
238,260 296 25
239,260 356 5
240,260 296 356
241,260 1196
242,260 296 356
243,260 356 5
244,260 318 356
245,260 296 5
246,260 296 356
247,260 318 25
248,260 296 318
249,260 356 5
250,260 296 318
251,260 296 5
252,260 296 356
253,260 356 5
254,260 296 318
255,260 296 5
256,260 593
257,260 318 5
258,260 318 356
259,260 296 356
260,260 296 356
261,260 296<
262,260 296 5
263,260 260 318
264,260 318 29
265,260 356 5
266,260 296 318
267,260 527
268,260 296 356
269,260 296 356
270,260 296 356
271,260 318 356
272,260 318 356
273,260 296 356
274,260 318 356
275,260 296 318
276,260 296 356
277,260 1196
278,260 356 25
279,260 318 25
280,260 296 356
281,260 318 119
282,260 318 356
283,260 318 5
284,260 296 5
285,260 318 5
286,260 260 29
287,260 296 356
288,260 296 5
289,260 318 5
290,260 296 318
291,260 296 356
292,260 356 5
293,260 296 318
294,260 296 318
295,260 318 5
296,260 356 5
297,260 296 25
298,260 296 318
299,260 296 5
300,296 318 356
301,296 593
302,296 318 356
303,296 318 5
304,296 318 356
305,296 318 5
306,296 318 5
307,296 318 356
308,296 318 356
309,296 318 356
310,296 1196
311,296 318 356
312,296 296 5
313,296<|
314,296 318 5
315,296 318 356
316,296 318 356
317,296 318 356
318,296 296 318
319,296 318 356
320,296 318 5
321,296 593
322,296 356 5
323,296 318 356
324,296 356 5
325,296 1196
326,296 318 356
327,296 318 356
328,296 296 5
329,296 318 356
330,296 318 5
331,296 318 356
332,296 318 9
333,296 527
334,296 296 318
335,296 296 318
336,296 593
337,296 318 356
338,296 296 318
339,296 318 5
