,movie_candidates
0,110 318 356 527 5
1,110 296 356 527 5
2,110 260 296 318 527
3,110 260 318 527<
4,110 260 318 356 527
5,110 260 318 356 593
6,110 260 296 356 527
7,110 296 318 527 5
8,110 260 318 593 119
9,110 260 318 2571 29
10,110 260 296 356 593
11,110 260 318 356 1196
12,110 296 318 593 25
13,110 260 2959<|
14,110 296 318 356 527
15,110 260 296 356 527
16,110 318 593 1196
17,110 260 356 527 5
18,110 260 296 356 593
19,110 260 318 356 593
20,110 260 527 1196
21,110 356 593 1196
22,110 260 296 318 356 5
23,110 260 296 593 25
24,110 318 527 2559
25,110 260 356 527 5
26,110 260 593 2959
27,110 260 296 318 356 5
28,110 260 356 1196 25
29,110 260 318 593 119
30,110 356 527 593
31,110 260 296 318 527
32,110 318 356 527 5
33,110 260 296 318 356 5
34,110 296 318 356 593
35,110 296 356 593 25
36,110 296 318 527 5
37,110 260 318 527 5
38,110 260 356 593 29
39,110 260 356 593 25
40,110 260 356 527 119
41,110 260 296 527 119
42,110 260 318 2571 29
43,110 260 527 593
44,110 260 527 593
45,110 260 318 593 25
46,110 260 296 318 2571
47,110 296 356 593 119
48,110 260 318 356 527
49,110 260 296 356 527
50,110 260 318 527 5
51,110 1196 2571 29
52,110 260 593 1196
53,110 260 275 593 29
54,110 260 318 356 527
55,110 318 356 527 5
56,110 260 356<|end
57,110 260 296 356 1196
58,110 318 356 1196 29
59,110 260 318 356 527
60,110 260 356 527 5
61,110 260 2571 2959
62,110 260 318 356 2959
63,110 260 318 2571<
64,110 260 296 356 593
65,110 260 356 593 25
66,110 260 318 527 5
67,110 318 1196<|
68,110 260 296 356 1196
69,110 260 296 356 527
70,110 296 593 1196
71,110 2571<|end
72,110 260 318 356 1196
73,110 260 296 593 29
74,110 260 318 2571 29
75,110 296 318 356 527
76,110 260 318 356 593
77,110 260 296 527 25
78,110 260 296 318 2959
79,110 260 296 356 527
80,110 260 356 527 5
81,110 260 356 527 5
82,110 260 296 318 527
83,110 260 356 593 119
84,110 260 296 356 2571
85,110 260 296 318 527
86,110 260 296 356 593
87,110 260 296 318 593
88,110 260 318 593 25
89,110 260 356 593 119
90,110 260 318 356 593
91,110 260 296 318 527
92,110 260 318 527 119
93,110 260 527 593
94,110 296 593 1196
95,110 260 356 593 119
96,110 260 296 318 1196
97,110 260 356 7927<
98,110 296 318 356 593
99,110 296 318 356 527
100,110 260 296 318 356 5
101,110 260 296 527 5
102,110 260 356 527 5
103,110 356 593 2571
104,110 260 296 318 527
105,110 260 356 527 5
106,110 260 593 1196
107,110 318 356 593 25
108,110 260 318 356 1196
109,110 260 2571<|
110,110 296 318 356 593
111,110 356 593 2959
112,110 260 1196 2959
113,110 260 296 356 527
114,110 260 296 318 356 5
115,110 260 296 527 29
116,110 318 356 527 5
117,110 260 356 593 25
118,110 260 318 356 593
119,110 260 296 527 5
120,110 260 593 1196
121,110 260 296 356 527
122,110 260 356 593 29
123,110 260 296 356 593
124,110 260 296 356 593
125,110 260 296 356 527
126,110 260 527 1196
127,110 260 318 356 593
128,110 260 296 318 356 5
129,110 260 296 318 356 119
130,110 260 318 356 2571
131,110 260 296 318 356 5
132,110 260 296 318 356 5
133,110 296 318 527 5
134,110 356 527 593
135,110 260 593 1196
136,110 260 296 356 1196
137,110 260 318 527<
138,110 260 318 2959<
139,110 260 296 318 593
140,110 260 455 1196 25
141,110 260 296 318 356 119
142,110 260 356 593 119
143,110 260 593<|
144,110 260 593 2959
145,110 260 593 2571
146,110 318 356 527 5
147,110 260 296 318 356 119
148,110 296 356 593 119
149,110 260 296 356 593
150,1196><|endoftext
151,1196<|endoftext
152,1196<|endoftext
153,1196 2571 2959<
154,1196 2571 2959<
155,1196 2571<|end
156,1196<|endoftext
157,1196 2571 2959<
158,1196<|endoftext
159,1196 2571 2959<
160,1196<|endoftext
161,1196<|endoftext
162,1196<|endoftext
163,1196 2571 2959<
164,1196<|endoftext
165,1196<|endoftext
166,1196<|endoftext
167,1196 2571 2959<
168,1196 2571<|end
169,1196<|endoftext
170,1196 2571<|end
171,1196 2571 2959<
172,1196 2959<|end
173,1196 2571 2959<
174,1196 2959<|end
175,1196<|endoftext
176,1196 2959<|end
177,1196<|endoftext
178,1196<|endoftext
179,1196 2571<|end
180,1196 2571 2959<
181,1196 2959<|end
182,1196<|endoftext
183,1196<|endoftext
184,1196 2959<|end
185,1196<|endoftext
186,1196 2959<|end
187,1196 2959<|end
188,1196 2959<|end
189,1196<|endoftext
190,1196<|endoftext
191,1196 2571 2959<
192,1196<|endoftext
193,1196 2959<|end
194,1196 2571 2959<
195,1196<|endoftext
196,1196<|endoftext
197,1196 2571 2959<
198,1196 2959<|end
199,1196<|endoftext
200,1196<|endoftext
201,1196 2959<|end
202,1196 2571<|end
203,1196<|endoftext
204,1196 2571<|end
205,1196 2571<|end
206,1196 2571 2959<
207,1196<|endoftext
208,1196<|endoftext
209,1196 2571 2959<
210,1196 2959<|end
211,1196 2571 2959<
212,1196<|endoftext
213,1196<|endoftext
214,1196 2571<|end
215,1196 527 593 119
216,1196<|endoftext
217,1196<|endoftext
218,1196<|endoftext
219,1196 2571<|end
220,1196<|endoftext
221,1196 2571<|end
222,1196 2959<|end
223,1196 2571<|end
224,1196<|endoftext
225,1196<|endoftext
226,1196<|endoftext
227,1196 2571<|end
228,1196 2959<|end
