,movie_candidates
0,110 593 1196 296 318
1,110 593 1196 296 2959
2,110 593 1196 296 356
3,110 593 296 318 260
4,110 593 1196 296 356
5,110 593 296 527 2571
6,110 593 296 527 2571
7,110 593 296 356 318
8,110 593 1196 296 356
9,110 593 1196 296 356
10,110 593 296 2959 260
11,110 593 1196 296 356
12,110 593 296 356 318
13,110 296 356 527 2959
14,110 593 296 527 2571
15,110 593 296 318 527
16,110 593 1196 296 356
17,110 593 1196 296 356
18,110 593 296 318 260
19,110 593 296 356 318
20,110 593 296 318 527
21,110 593 1196 296 318
22,110 593 296 356 527
23,110 296 318 2571 110
24,110 593 296 318 527
25,110 593 1196 296 356
26,110 593 296 318 260
27,110 593 296 527 2571
28,110 593 296 318 527
29,110 593 1196 296 356
30,110 593 1196 296 356
31,110 593 296 356 527
32,110 593 296 356 2959
33,110 593 1196 296 356
34,110 593 296 356 318
35,110 593 296 527 2571
36,110 593 1196 296 356
37,110 593 1196 296 318
38,110 593 296 356 318
39,110 593 1196 296 356
40,110 593 296 356 2959
41,110 593 1196 296 356
42,110 593 296 318 527
43,110 593 1196 296 356
44,110 593 296 356 318
45,110 593 1196 296 356
46,110 593 1196 296 356
47,110 593 296 2959 110
48,110 593 1196 296 318
49,110 593 1196 296 356
50,110 593 296 2959 260
51,110 593 296 527 2571
52,110 593 296 2571 593
53,110 593 296 356 318
54,110 1196 296 318 2571
55,110 593 296 356 318
56,110 593 296 2959 110
57,110 593 1196 296 356
58,110 593 296 356 527
59,110 593 296 527 2571
60,110 593 296 356 318
61,110 593 296 527 2571
62,110 593 296 527 2571
63,110 593 1196 296 356
64,110 593 296 356 318
65,110 593 296 2959 260
66,110 593 1196 296 356
67,110 1196 296 318 2571
68,110 593 296 318 527
69,110 593 1196 296 2571
70,110 593 296 356 527
71,110 593 296 527 2571
72,110 593 296 356 318
73,110 593 296 318 527
74,110 593 1196 296 318
75,110 593 296 356 318
76,110 593 296 2959 260
77,110 593 296 356 318
78,110 593 1196 296 356
79,110 593 296 356 318
80,110 593 296 527 2571
81,110 593 1196 296 356
82,110 593 1196 296 318
83,110 593 296 356 318
84,110 593 296 356 318
85,110 593 296 318 260
86,110 593 1196 296 356
87,110 593 296 2959 110
88,110 296 318 2571 110
89,110 593 296 527 2571
90,110 593 296 527 2571
91,110 593 296 356 2959
92,110 593 296 356 318
93,110 296 356 2571 2959
94,110 593 296 356 318
95,110 593 1196 296 318
96,110 593 296 2959 110
97,110 593 296 318 527
98,110 593 1196 296 356
99,110 593 296 356 318
100,110 593 296 2571 593
101,110 593 296 318 260
102,110 593 296 527 2959
103,110 593 296 356 2959
104,110 593 296 318 527
105,110 593 1196 296 356
106,110 593 296 356 318
107,110 593 296 318 527
108,110 593 296 356 318
109,110 593 296 527 2571
110,110 593 296 318 527
111,110 593 296 527 2571
112,110 593 296 2959 110
113,110 593 296 527 2571
114,110 593 1196 296 318
